category,session,question_text,option1,option2,option3,option4,correct_answer
SQL Server,1,A database is best described as:,A collection of unrelated files,An organized collection of related data,A single hardware device,A type of programming language,An organized collection of related data
SQL Server,1,The session gives examples like 'What are the phone numbers and addresses of the five nearest post offices?' to illustrate that a database can be thought of as:,A data collection to which different questions can be asked,A programming language,A single spreadsheet cell,A network cable,A data collection to which different questions can be asked
SQL Server,1,"According to the session, data becomes information when it is:",Deleted,Gathered and analyzed,Encrypted,Backed up,Gathered and analyzed
SQL Server,1,Data management deals with managing large amounts of information through which two approaches described in the session?,Cloud storage and local storage,File-based systems and database systems,SQL and NoSQL,Manual filing and digital scanning,File-based systems and database systems
SQL Server,1,"In file-based systems, files of archived data were called 'tables' because they resembled:",Tables used in traditional file keeping,Modern spreadsheets,Index cards,Filing cabinets,Tables used in traditional file keeping
SQL Server,1,"In a file-based system, rows in a table were traditionally called:",Fields,Records,Attributes,Tuples,Records
SQL Server,1,"In a file-based system, columns were traditionally called:",Records,Fields,Rows,Keys,Fields
SQL Server,1,Which of the following is NOT listed as a disadvantage of file-based systems?,Data redundancy and inconsistency,Unanticipated queries,Centralized security control,Data isolation,Centralized security control
SQL Server,1,"When the same customer data is duplicated across two files and a change to one is not reflected in the other, this illustrates:",Data isolation,Data redundancy and inconsistency,A concurrent access anomaly,A security problem,Data redundancy and inconsistency
SQL Server,1,"Difficulty handling a sudden request such as listing all customers with an account balance of $20,000 or more illustrates the file-based system issue of:",Data isolation,Unanticipated queries,Integrity problems,Security problems,Unanticipated queries
SQL Server,1,"When related data is scattered across isolated files that may be in different formats, this is called:",Data redundancy,Data isolation,A concurrency issue,An integrity problem,Data isolation
SQL Server,1,Difficulty in allowing multiple users to access the same file or record simultaneously in a file-based system is known as:,Integrity problems,Concurrent access anomalies,Data isolation,Security problems,Concurrent access anomalies
SQL Server,1,Restricting payroll staff so they cannot view customer account data illustrates the file-based system issue of:,Security problems,Data isolation,Integrity problems,Redundancy,Security problems
SQL Server,1,"The rule 'Customer ID, which is the unique identifier for a customer record, should not be empty' is an example of:",A security constraint,A data integrity rule,A redundancy check,A concurrency control,A data integrity rule
SQL Server,1,"According to the session, database systems evolved in which period to address common issues in file-based applications?",1950s,Late 1960s,1980s,1990s,Late 1960s
SQL Server,1,Which of the following is an advantage of database systems mentioned in the session?,Increased redundancy,Reduced redundancy through centralized control,No security enforcement,Isolation of related data,Reduced redundancy through centralized control
SQL Server,1,"Updating a single centralized record when Mr. Larry Finner is promoted, instead of updating multiple files, illustrates:",Reduced data inconsistency,Increased data redundancy,Data isolation,A concurrency anomaly,Reduced data inconsistency
SQL Server,1,"In a centralized database system, who is typically given full control to modify the database and implement security restrictions?",Any employee,The Database Administrator (DBA),The end user,The application programmer,The Database Administrator (DBA)
SQL Server,1,A DBMS (Database Management System) can be defined as:,A single data file,A collection of related records and a set of programs to access and manipulate them,A physical hardware server,A type of network protocol,A collection of related records and a set of programs to access and manipulate them
SQL Server,1,"Defining the structure of data — including field types, sizes, and constraints — is part of a DBMS's:",Data manipulation function,Data definition function,Data storage function,Data recovery function,Data definition function
SQL Server,1,"Inserting, modifying, or deleting data — handling both planned and unplanned requirements — falls under a DBMS's:",Data manipulation function,Data definition function,Data storage function,Data isolation function,Data manipulation function
SQL Server,1,"Queries that are performed as and when required, without being pre-planned as part of an application, are called:",Planned queries,Unplanned (ad-hoc) queries,Static queries,Structured queries,Unplanned (ad-hoc) queries
SQL Server,1,The DBMS component that evaluates different implementations of a query and chooses the best one is the:,Data Dictionary,Query Optimizer,Schema Manager,Index Manager,Query Optimizer
SQL Server,1,SQL (Structured Query Language) is best described in the session as a:,Procedural language,Non-procedural query language,Operating system,Hardware communication protocol,Non-procedural query language
SQL Server,1,Which of these are cited as examples of procedural languages that can also provide data access to programmers?,HTML and CSS,"C, Visual Basic, and Pascal",Only Python,None — only SQL provides data access,"C, Visual Basic, and Pascal"
SQL Server,1,Which of the following is NOT listed in the session as an example of a database application?,Computerized library systems,Automated teller machines,Flight reservation systems,Word processing software,Word processing software
SQL Server,1,Sophisticated languages used for managing database systems are referred to as:,Third Generation Languages (3GLs),Fourth Generation Languages (4GLs),Structured Query Languages (SQLs) only,Database Access Languages (DALs),Fourth Generation Languages (4GLs)
SQL Server,1,"In the Flat File Data Model, the database consists of:",Multiple interlinked tables,Only one table or file,A tree of parent-child tables,A network of linked records,Only one table or file
SQL Server,1,Which database model represents data using a tree-like structure in which a child record can have only one parent?,Relational Model,Hierarchical Model,Network Model,Flat File Model,Hierarchical Model
SQL Server,1,Which real-world system is cited in the session as an example of the Hierarchical Data Model?,MySQL,The Windows Registry,A CSV file,An Excel workbook,The Windows Registry
SQL Server,1,"In the Hierarchical Model example (Department, Project, Employee), which segments are the children of the DEPARTMENT segment?",Project and Employee,Customer and Invoice,Salesrep and Product,Region and Branch,Project and Employee
SQL Server,1,Which of the following is an advantage of the Hierarchical model mentioned in the session?,Data independence provided by a DBMS reduces effort and cost in maintaining the program,It requires no DBMS at all,It cannot handle large volumes of data,Only a single user can ever access the data,Data independence provided by a DBMS reduces effort and cost in maintaining the program
SQL Server,1,The Network Data Model differs from the Hierarchical Model mainly because:,It does not use tables at all,A child record is allowed to have more than one parent,It cannot store large amounts of data,It uses only a single file,A child record is allowed to have more than one parent
SQL Server,1,Which organization defined the structures and language constructs of the network model?,ANSI,CODASYL (Conference on Data Systems Language),ISO,IEEE,CODASYL (Conference on Data Systems Language)
SQL Server,1,Which of these are given as examples of a Network DBMS in the session?,Oracle and MySQL,IDMS and Raima Database Manager (RDM),SQL Server and DB2,MongoDB and Cassandra,IDMS and Raima Database Manager (RDM)
SQL Server,1,"In network model terminology, the definition of a database's name, record types, and the components making up records is called its:",Sub-schema,Network schema,Data dictionary,Query plan,Network schema
SQL Server,1,The portion of a network database as seen by the application's programs is referred to as the:,Schema,Sub-schema,Super-schema,Meta-schema,Sub-schema
SQL Server,1,"In the Relational Model, a row is referred to as a:",Field,Tuple,Domain,Attribute,Tuple
SQL Server,1,"In the Relational Model, a column is referred to as an:",Tuple,Attribute,Relation,Cardinality,Attribute
SQL Server,1,The number of tuples in a relation determines its:,Degree,Cardinality,Domain,Schema,Cardinality
SQL Server,1,The number of attributes in a relation determines its:,Cardinality,Degree,Domain,Primary key,Degree
SQL Server,1,The set of all values that a particular attribute can take is called its:,Domain,Degree,Cardinality,Tuple,Domain
SQL Server,1,Which of these is NOT mentioned in the session as a popular relational DBMS?,Oracle,Sybase,DB2,Windows Registry,Windows Registry
SQL Server,1,An attribute or combination of attributes that uniquely identifies each tuple in a relation is called the:,Foreign Key,Primary Key,Candidate Attribute,Super Field,Primary Key
SQL Server,1,"An attribute in one relation whose values must match those in another relation, indicating a relationship between the two, is called a:",Primary Key,Foreign Key,Composite Key,Super Key,Foreign Key
SQL Server,1,"In the Order_August / Customer example from the session, which column acts as a foreign key referencing the Customer table?",Ord_No,Ord_Date,Cust_No,Item_No,Cust_No
SQL Server,1,An advantage of the relational model mentioned in the session is that it:,Is always faster than every other database model,Lets programmers concentrate on the logical view of the database rather than the physical view,Requires no query language at all,Cannot be used with SQL,Lets programmers concentrate on the logical view of the database rather than the physical view
SQL Server,1,A disadvantage of the relational model noted in the session is that it:,Cannot store large volumes of data,Tends to be slower than other database systems despite hiding system complexities,Has no concept of primary keys,Is rarely used compared to other models,Tends to be slower than other database systems despite hiding system complexities
SQL Server,1,A Relational Database Management System (RDBMS) is best defined as:,"A software program that helps create, maintain, and manipulate a relational database",A network communication protocol,A single flat file,A programming language for graphics,"A software program that helps create, maintain, and manipulate a relational database"
