category,session,question_text,option1,option2,option3,option4,correct_answer
Express JS and Node JS,1,What does full stack development primarily involve?,Only front-end development,Only back-end/server-side development,"Creation of complete Web applications spanning all architectural layers, from front-end to back-end",Only database administration,"Creation of complete Web applications spanning all architectural layers, from front-end to back-end"
Express JS and Node JS,1,A full stack developer is best described as someone who:,Specializes exclusively in UI design,Is proficient in both client-side and server-side aspects of an application,Only manages databases,Only handles deployment and hosting,Is proficient in both client-side and server-side aspects of an application
Express JS and Node JS,1,Which of the following is NOT listed as one of the primary components of full stack development?,Front-End Development,Back-End Development,Graphic Design Software,Version Control,Graphic Design Software
Express JS and Node JS,1,Front-end development is primarily concerned with:,Server-side logic,The user interface and user experience of a Web application,Database administration,Network security,The user interface and user experience of a Web application
Express JS and Node JS,1,Which technologies form the foundation for building visual elements and interactivity on the front end?,"Node.js, Express, MongoDB","HTML, CSS, and JavaScript","Python, Ruby, PHP",SQL and NoSQL,"HTML, CSS, and JavaScript"
Express JS and Node JS,1,Back-end development is mainly responsible for:,Visual design of a webpage,"Application functionality, database administration, and server-side logic",Only writing CSS styles,Managing social media accounts,"Application functionality, database administration, and server-side logic"
Express JS and Node JS,1,Which of the following are examples of server-side programming languages used in back-end development?,"HTML, CSS","Node.js, Python, Ruby, Java, or PHP","React, Angular, Vue","Git, SVN","Node.js, Python, Ruby, Java, or PHP"
Express JS and Node JS,1,Back-end developers provide APIs primarily to:,Style the front-end,Enable data exchange and communication between front-end and back-end,Manage version control,Host the application on a server,Enable data exchange and communication between front-end and back-end
Express JS and Node JS,1,APIs stand for:,Application Programming Interfaces,Advanced Programming Instructions,Automated Process Integration,Application Process Interfaces,Application Programming Interfaces
Express JS and Node JS,1,Which of the following is an example of a relational database?,MongoDB,Firebase,MySQL,GridFS,MySQL
Express JS and Node JS,1,Which of the following is an example of a NoSQL database?,PostgreSQL,MongoDB,MySQL,Oracle,MongoDB
Express JS and Node JS,1,The choice between relational and NoSQL databases in full-stack development typically depends on:,The developer's favorite programming language,The application's requirements,The price of the software license,The operating system used,The application's requirements
Express JS and Node JS,1,What is the primary role of a Web server?,To design the user interface,"To handle client requests, process them, and return results to users",To manage version control history,To store multimedia files only,"To handle client requests, process them, and return results to users"
Express JS and Node JS,1,Which of the following is NOT mentioned as a tool used to build and manage Web servers?,Express.js,Django,Flask,Photoshop,Photoshop
Express JS and Node JS,1,To make a Web application available to users, full-stack developers must:,Only write more front-end code,Deploy it to a Web server or cloud platform,Avoid using version control,Disable the database,Deploy it to a Web server or cloud platform
Express JS and Node JS,1,Knowledge of server administration and deployment procedures is important because it:,Improves the color scheme of the website,Ensures efficient application hosting,Removes the need for a database,Replaces the need for testing,Ensures efficient application hosting
Express JS and Node JS,1,Which tool is cited as a crucial version control system for full-stack engineers?,Git,Docker,Postman,Slack,Git
Express JS and Node JS,1,What does the acronym MERN stand for?,"MongoDB, Express, ReactJS, Node.js","MySQL, Express, React, Node.js","MongoDB, Ember, React, Node.js","MongoDB, Express, Redux, Node.js","MongoDB, Express, ReactJS, Node.js"
Express JS and Node JS,1,In the MERN stack, which technology serves as the NoSQL database?,Express,ReactJS,Node.js,MongoDB,MongoDB
Express JS and Node JS,1,In the MERN stack, which technology handles the front-end of the application?,MongoDB,Express,ReactJS,Node.js,ReactJS
Express JS and Node JS,1,In the MERN stack, which component acts as the server-side runtime environment?,ReactJS,Node.js,MongoDB,Express,Node.js
Express JS and Node JS,1,In the MERN stack, which technology is a minimal and flexible Web application framework used to build APIs and server-side functionality?,MongoDB,Express,ReactJS,Node.js,Express
Express JS and Node JS,1,Which company is responsible for the development and upkeep of ReactJS?,Google,Facebook,Microsoft,Amazon,Facebook
Express JS and Node JS,1,In what year was ReactJS initially released?,2009,2013,2018,2020,2013
Express JS and Node JS,1,ReactJS is particularly renowned for its ability to construct:,Databases and servers,UIs and Single Page Applications (SPAs),Operating systems,Version control systems,UIs and Single Page Applications (SPAs)
Express JS and Node JS,1,React allows developers to build interfaces using reusable code fragments called:,Modules,Components,Templates,Middleware,Components
Express JS and Node JS,1,What does JSX stand for in the context of ReactJS?,JavaScript XML,Java Syntax Extension,JSON XML,JavaScript Extension,JavaScript XML
Express JS and Node JS,1,JSX enables developers to:,Write only CSS within JavaScript,Embed HTML-like code within their JavaScript components,Connect directly to a database without an API,Replace Node.js entirely,Embed HTML-like code within their JavaScript components
Express JS and Node JS,1,What is the Virtual DOM in ReactJS?,A physical server used to host React apps,"A lightweight, in-memory representation of the actual DOM used to optimize UI updates",A database used to store UI state,A CSS framework,"A lightweight, in-memory representation of the actual DOM used to optimize UI updates"
Express JS and Node JS,1,How does the Virtual DOM improve performance in ReactJS?,By storing data permanently in the database,By comparing the Virtual DOM with the real DOM and applying only essential updates,By eliminating the need for JavaScript,By rendering all elements twice,By comparing the Virtual DOM with the real DOM and applying only essential updates
Express JS and Node JS,1,React's Unidirectional Data Flow means that:,"Data moves in one direction, from parent to child components","Data moves in one direction, from child to parent components",Data moves randomly between components,Data cannot move between components at all,"Data moves in one direction, from parent to child components"
Express JS and Node JS,1,Which of the following can be combined with ReactJS to handle global application state in complex applications?,Redux or React's Context API,Express or Node.js,MongoDB or MySQL,Git or GitHub,Redux or React's Context API
Express JS and Node JS,1,Node.js is best described as:,A front-end JavaScript library,A server-side JavaScript runtime environment,A relational database system,A CSS preprocessor,A server-side JavaScript runtime environment
Express JS and Node JS,1,Which JavaScript engine does Node.js rely on?,SpiderMonkey,Chakra,Chrome V8,JavaScriptCore,Chrome V8
